"filename", "language", "PHP", "Shell Script", "Batch", "JSON", "Markdown", "YAML", "CSS", "XML", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\glyf.php", "PHP", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 33, 154
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\head.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 46
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\hhea.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 44
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\hmtx.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 59
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\kern.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16, 80
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\loca.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 80
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\maxp.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 42
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\name.php", "PHP", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 25, 194
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\nameRecord.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 53
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\os2.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 47
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\post.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 19, 143
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\TrueType\Collection.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 22, 101
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\TrueType\File.php", "PHP", 318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 83, 472
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\TrueType\Header.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 31
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\TrueType\TableDirectoryEntry.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 34
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\WOFF\File.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 17, 82
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\WOFF\Header.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 32
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-font-lib\src\FontLib\WOFF\TableDirectoryEntry.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 35
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-svg-lib\README.md", "Markdown", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 14
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-svg-lib\composer.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-svg-lib\src\Svg\CssLength.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 15, 135
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-svg-lib\src\Svg\DefaultStyle.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 30
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-svg-lib\src\Svg\Document.php", "PHP", 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 81, 407
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\dompdf\vendor\phenx\php-svg-lib\src\Svg\Gradient\Stop.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 17
